EID,Name
92056834,Mark Flekken
45092658,Ko Itakura
70118933,Cenk Özkacar
67190072,Aritz Elustondo
92088306,Nico Schlotterbeck
42002173,Eran Zahavi
91156033,Zack Steffen
28018193,Péter Gulácsi
34009070,Allan Nyom
43115047,Thomas Strakosha
320569,Renato Augusto
93024775,Ludwig Augustinsson
19259566,Pedro
29165656,Ryan Sessegnon
29080394,Adam Webster
13195823,Youcef Atal
19225765,Luiz Felipe
37062161,Perr Schuurs
48034615,Nordi Mukiele
85145148,Jonathan Ikoné
85009974,Willy Boly
28059632,Patrick Bamford
37059452,Pascal Struijk
53004955,Ørjan Nyland
19260170,Marco Túlio
57024538,Alexandru Maxim
76047347,Luis Sinisterra
67118372,Sergi Darder
43130133,Bruno Petković
29189400,Brennan Johnson
85045661,Dimitri Foulquier
19042304,Juan Jesus
91207274,Amadou Onana
18108540,Jonathan David
19088277,Mário Fernandes
58008957,Fedor Smolov
45077484,Gakuji Ota
8167246,Simon Mignolet
13136621,Kelechi Iheanacho
37071126,Tijjani Reijnders
98040226,Noah Okafor
67157583,Pablo Marí
36116501,Konstantinos Mavropanos
62031623,Stefan Mitrović
28047501,Loris Karius
55012829,Pizzi
78071584,Brian Lozano
48042766,Ismaïla Sarr
13107111,Frank Acheampong
78043774,Emiliano Velázquez
43037008,Mattia De Sciglio
43096538,Manuel Lazzari
77016093,Matías Dituro
55022375,Ricardo Esgaio
37051305,Arnaut Danjuma
5112064,Tom Heaton
37055842,Noa Lang
37055841,Justin Kluivert
49038271,Maxence Lacroix
70099762,Abdülkadir Ömür
28106342,Kiernan Dewsbury-Hall
91137260,Jordan Torunarigha
62095383,Adam Marušić
67270690,Mohammed Salisu
29076103,Calum Chambers
37064720,Lutsharel Geertruida
68007215,Robin Olsen
19189686,Wallace
518969,Niklas Moisander
91100466,Maximilian Arnold
5128263,Fraser Forster
37050140,Steven Bergwijn
37084591,Micky van de Ven
16253898,Patrick Wimmer
78010878,Martín Cáceres
16197824,Saša Kalajdžić
85104569,Wylan Cyprien
43206176,Gaetano Castrovilli
28037204,Sam Johnstone
28047560,Jesse Lingard
67245235,Fran García
89040516,Ethan Pinnock
29233143,Harvey Elliott
19158043,Emerson
28088513,Harry Winks
43083951,Elseid Hysaj
50065334,Boulaye Dia
18074558,Timothy Castagne
19348859,Tetê
63002306,Martin Dúbravka
29125334,Dean Henderson
29090530,Solly March
29173977,Max Aarons
28106684,Joe Willock
43006720,Giacomo Bonaventura
1414241,Danilo D'Ambrosio
50047466,Valentin Rosier
45101991,Yota Maejima
29061164,Dan Burn
67195855,Mikel Vesga
53020679,André Hansen
45015318,Gotoku Sakai
67245418,Abel Ruiz
78071163,Giovanni González
91105029,Yannick Gerhardt
45096288,Daiya Maekawa
54008309,Rafał Gikiewicz
52032335,Matt Doherty
45112057,Keisuke Osako
67050445,Enric Saborit
67212046,Alfonso Pedraza
67157520,Álex Berenguer
78016332,Mauricio Pereyra
54005896,Mateusz Klich
86053825,Byron Castillo
19190440,Marcão
19174874,Helton Leite
92063787,Mahmoud Dahoud
20034959,Haji Wright
43094163,Simone Scuffet
27058550,Pione Sisto
62137429,Mihailo Ristić
8443059,Anthony Modeste
19149016,Wendell
8447172,Papiss Cissé
210541,Ercan Kara
67009719,Iván Marcano
67221051,Rafa Mir
96102946,Jakub Kiwior
67214613,Pablo Fornals
67271371,Rodrigo Zalazar
67184140,Álvaro García
96047750,Jan Bednarek
18089862,Selim Amallah
45095917,Takumi Nagaishi
19233146,Everton Cebolinha
2000068954,Luciano Rodríguez
43130944,Rey Manaj
55026952,Bruma
83228731,Gonçalo Inácio
89066513,Johnny
85126092,Ellyes Skhiri
43061433,Davide Zappacosta
98015432,Berat Djimsiti
75000744,Esteban Pavez
27122563,Mads Roerslev
67215283,Carles Pérez
61042900,Ryan Christie
53113114,Julian Ryerson
45086190,Hiroyuki Mae
16199711,Amadou Haïdara
67043255,Oriol Romeu
80013411,Francisco Calvo
53101282,Sander Berge
67142868,Samu Castillejo
43424567,Kristjan Asllani
